NAME                     VERSION                         TYPE                     
libsemanage-common       3.4-1                           deb                      
libsemanage2             3.4-1+b5                        deb                      
libsepol2                3.4-2.1                         deb                      
libslang2                2.3.3-3                         deb                      
libsmartcols1            2.38.1-5+deb12u3                deb                      
libsqlite3-0             3.40.1-2+deb12u2                deb                      
libss2                   1.47.0-2+b2                     deb                      
libssh2-1                1.10.0-3+b1                     deb                      
libssl3                  3.0.20-1~deb12u2                deb                      
libstdc++6               12.2.0-14+deb12u1               deb                      
libsystemd-shared        252.39-1~deb12u2                deb                      
libsystemd0              252.39-1~deb12u2                deb                      
libtasn1-6               4.19.0-2+deb12u1                deb                      
libteamdctl0             1.31-1                          deb                      
libtinfo6                6.4-4                           deb                      
libtirpc-common          1.3.3+ds-1                      deb                      
libtirpc3                1.3.3+ds-1                      deb                      
libudev1                 252.39-1~deb12u2                deb                      
libunistring2            1.0-2                           deb                      
libuuid1                 2.38.1-5+deb12u3                deb                      
libxxhash0               0.8.1-1                         deb                      
libzstd1                 1.5.4+dfsg2-5                   deb                      
login                    1:4.13+dfsg1-1+deb12u2          deb                      
logsave                  1.47.0-2+b2                     deb                      
mawk                     1.3.4.20200120-3.1              deb                      
more-itertools           10.3.0                          python                   
mount                    2.38.1-5+deb12u3                deb                      
ncurses-base             6.4-4                           deb                      
ncurses-bin              6.4-4                           deb                      
netbase                  6.4                             deb                      
network-manager          1.42.4-1+deb12u1                deb                      
openssl                  3.0.20-1~deb12u2                deb                      
packaging                24.2                            python                   
passwd                   1:4.13+dfsg1-1+deb12u2          deb                      
perl-base                5.36.0-7+deb12u3                deb                      
pip                      24.0                            python                   
platformdirs             4.2.2                           python                   
polkitd                  122-3                           deb                      
pydantic                 2.13.4                          python                   
pydantic-core            2.46.4                          python                   
python                   3.11.15                         binary                   
python-dotenv            1.2.2                           python                   
pyyaml                   6.0.3                           python                   
readline-common          8.2-1.3                         deb                      
sed                      4.9-1+deb12u1                   deb                      
setuptools               79.0.1                          python                   
sgml-base                1.31                            deb                      
starlette                1.3.1                           python                   
systemd                  252.39-1~deb12u2                deb                      
systemd-sysv             252.39-1~deb12u2                deb                      
sysvinit-utils           3.06-4                          deb                      
tar                      1.34+dfsg-1.2+deb12u1           deb                      
tomli                    2.0.1                           python                   
typeguard                4.3.0                           python                   
typing-extensions        4.12.2                          python                   
typing-extensions        4.15.0                          python                   
typing-inspection        0.4.2                           python                   
tzdata                   2026b-0+deb12u1                 deb                      
udev                     252.39-1~deb12u2                deb                      
usr-is-merged            37~deb12u1                      deb                      
util-linux               2.38.1-5+deb12u3                deb                      
util-linux-extra         2.38.1-5+deb12u3                deb                      
uvicorn                  0.49.0                          python                   
uvloop                   0.22.1                          python                   
watchfiles               1.2.0                           python                   
websockets               16.0                            python                   
wheel                    0.45.1                          python  (+1 duplicate)   
xml-core                 0.18+nmu1                       deb                      
zipp                     3.19.2                          python                   
zlib1g                   1:1.2.13.dfsg-1                 deb                      
